full_id,class,event,Event_start_time,Event_end_time,Subaction_start,Subaction_end,videoname,stages
A0xAXXysHUo_E_002184_002237_A_0035_0036,93,4,2184.24,2237.24,2219.6099999999997,2221.2099999999996,A0xAXXysHUo,1
AZ4wWG6Rcak_E_003643_003675_A_0024_0026,77,4,3643.12,3675.6,3667.5,3669.93,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_004073_004175_A_0053_0054,43,3,4073.48,4175.6,4126.78,4127.57,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_004073_004175_A_0054_0055,55,3,4073.48,4175.6,4128.16,4129.3,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_004073_004175_A_0061_0062,43,3,4073.48,4175.6,4135.35,4136.13,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_004209_004299_A_0087_0090,73,3,4209.64,4299.68,4297.280000000001,4299.64,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_005608_005706_A_0024_0025,43,3,5608.84,5706.84,5633.71,5634.4400000000005,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_005608_005706_A_0045_0046,49,3,5608.84,5706.84,5654.63,5655.54,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_005608_005706_A_0096_0097,73,3,5608.84,5706.84,5705.17,5706.8,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_005726_005763_A_0003_0006,77,4,5726.52,5763.84,5730.01,5733.46,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_005995_006025_A_0019_0021,93,4,5995.8,6025.48,6015.6900000000005,6016.97,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_006115_006196_A_0078_0080,72,3,6115.68,6196.4,6194.26,6196.360000000001,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_006218_006294_A_0009_0010,43,3,6218.68,6294.0,6228.46,6229.22,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_006218_006294_A_0021_0021,67,3,6218.68,6294.0,6239.700000000001,6240.6,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_006218_006294_A_0055_0057,65,3,6218.68,6294.0,6274.12,6275.68,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_006218_006294_A_0072_0075,73,3,6218.68,6294.0,6291.18,6293.96,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_007152_007237_A_0033_0033,67,3,7152.36,7237.28,7185.38,7186.19,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_007152_007237_A_0082_0084,73,3,7152.36,7237.28,7235.339999999999,7237.24,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_007413_007501_A_0018_0019,67,3,7413.4,7501.88,7432.25,7433.099999999999,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_007413_007501_A_0031_0031,43,3,7413.4,7501.88,7444.48,7445.219999999999,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_007413_007501_A_0036_0037,43,3,7413.4,7501.88,7449.92,7450.73,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_007413_007501_A_0074_0076,55,3,7413.4,7501.88,7488.349999999999,7489.57,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_007413_007501_A_0084_0085,67,3,7413.4,7501.88,7497.849999999999,7498.73,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_007888_007961_A_0058_0059,55,3,7888.08,7961.56,7946.23,7947.11,AZ4wWG6Rcak,1
AZ4wWG6Rcak_E_008901_008976_A_0066_0067,93,4,8901.08,8976.6,8967.39,8968.89,AZ4wWG6Rcak,1
